Workbook,Sheet,Column,Dtype,Nonâ€‘Null,Unique,Sample values
Cows 1.xlsx,Cow Group Summary,Cow Group,string,4,4,"Group A, Group B, Group C"
Cows 1.xlsx,Cow Group Summary,Total Cows Per Group,number,4,1,"0, 0, 0"
Cows 1.xlsx,Cow Group Summary,Total Cows,number,1,1,0
Cows 1.xlsx,Cow Group Summary,__EMPTY,unknown,0,0,
Cows 1.xlsx,Cow Group Summary,__EMPTY_1,unknown,0,0,
Cows 1.xlsx,Cow Group Summary,__EMPTY_2,unknown,0,0,
Cows 1.xlsx,Cow Group Summary,__EMPTY_3,unknown,0,0,
Cows 1.xlsx,Cow Group Summary,__EMPTY_4,unknown,0,0,
Cows 1.xlsx,Cow Group Summary,__EMPTY_5,unknown,0,0,
Cows 1.xlsx,Cow Quantity,Date,date,17,2,"2025-03-09, 2025-03-09, 2025-03-09"
Cows 1.xlsx,Cow Quantity,Cow Group,string,17,4,"Group A, Group A, Group A"
Cows 1.xlsx,Cow Quantity,Cow ID,string,17,17,"737, 748, 744"
Cows 1.xlsx,Cow Quantity,Breed ,string,17,1,"Holstein, Holstein, Holstein"
Cows 1.xlsx,Cow Quantity,Notes,string,17,1,"Sold, Sold, Sold"
Cows 1.xlsx,Food Quantity,Date,date,7,4,"2024-05-01, 2024-05-02, 2024-05-02"
Cows 1.xlsx,Food Quantity,Food Type,string,7,7,"Straw, Summer Corn, Bran"
Cows 1.xlsx,Food Quantity,Total Supplied (kg),number,7,6,"1000, 2000, 1000"
Cows 1.xlsx,Food Quantity,Total Quantity Used (kg),number,7,6,"2086, 275.5, 5"
Cows 1.xlsx,Food Quantity,Remaing Supply (kg),number,7,7,"-1086, 1724.5, 995"
Cows 1.xlsx,Growth Tracker,Cow ID,date,17,15,"737, 763, 764"
Cows 1.xlsx,Growth Tracker,Breed,string,17,1,"Holstein, Holstein, Holstein"
Cows 1.xlsx,Growth Tracker,Weight (kg),number,17,17,"545, 293, 284"
Cows 1.xlsx,Growth Tracker,Date Weighed,date,17,3,"2025-03-26, 2025-04-26, 2025-04-26"
Cows 1.xlsx,Growth Tracker,Growth Notes,string,5,3,"Initial, Initial, Initial"
Cows 1.xlsx,Expenses,Date,date,21,7,"2025-03-13, 2025-03-13, 2025-03-14"
Cows 1.xlsx,Expenses,Expense Type,string,21,12,"Feed, Food Transportation, Cows ( 9 )"
Cows 1.xlsx,Expenses,Amount ($),number,21,18,"111025, 2500, 671925"
Cows 1.xlsx,Expenses,Description,string,11,11,"SC 2t , B 2t , FF 4t , S 0.25t, First Batch ( 4335kg*155 ), 250kg"
Cows 1.xlsx,Expenses,__EMPTY,unknown,0,0,
Cows 1.xlsx,Expenses,__EMPTY_1,unknown,0,0,
Cows 1.xlsx,Expenses,__EMPTY_2,unknown,0,0,
Cows 1.xlsx,Expenses,__EMPTY_3,unknown,0,0,
Cows 1.xlsx,Expenses,__EMPTY_4,unknown,0,0,
Cows 1.xlsx,Expenses,__EMPTY_5,unknown,0,0,
Cows 1.xlsx,Expenses,__EMPTY_6,string,1,1, 
Cows 1.xlsx,Selling,Cow ID,string,17,17,"737, 744, 742"
Cows 1.xlsx,Selling,Breed,string,17,1,"Holstein, Holstein, Holstein"
Cows 1.xlsx,Selling,Date Sold,date,17,8,"2025-03-26, 2025-06-01, 2025-06-01"
Cows 1.xlsx,Selling,Weight at Sale (kg),number,17,17,"545, 604, 509"
Cows 1.xlsx,Selling,Price Per Kilo,number,17,3,"183, 185, 185"
Cows 1.xlsx,Selling,Sale Price ($),number,25,18,"99735, 111740, 94165"
Cows 1.xlsx,Selling,Buyer Name,string,17,7,"El Omda, Ahmed Maher, Ahmed Maher"
Cows 1.xlsx,Selling,Notes,string,17,1,"Healthy cow, Healthy cow, Healthy cow"
Cows 1.xlsx,Profit Summary,Description,string,3,3,"Total Sales, Total Expenses, Net Profit"
Cows 1.xlsx,Profit Summary,Amount ($),number,3,3,"1488580, 1401162, 87418"
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,Date,date,1824,1441,"2025-03-14, 2025-03-14, 2025-03-15"
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,Food Type,string,1824,7,"Straw, Fattening Feed, Straw"
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,Quantity Used (kg),number,466,24,"18, 108, 18"
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,Used For (Cow ID or Group),string,466,4,"Group A, Group A, Group A"
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,__EMPTY,unknown,0,0,
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,__EMPTY_1,unknown,0,0,
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,__EMPTY_2,unknown,0,0,
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,__EMPTY_3,unknown,0,0,
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,__EMPTY_4,unknown,0,0,