cycle_name,external_id,group_number,start_date
Cycle 2024-04-29_to_2025-06-06,736,1,2025-03-09
Cycle 2024-04-29_to_2025-06-06,737,1,2025-03-09
Cycle 2024-04-29_to_2025-06-06,738,1,2025-03-09
Cycle 2024-04-29_to_2025-06-06,741,1,2025-03-09
Cycle 2024-04-29_to_2025-06-06,742,1,2025-03-09
Cycle 2024-04-29_to_2025-06-06,743,2,2025-03-09
Cycle 2024-04-29_to_2025-06-06,744,1,2025-03-09
Cycle 2024-04-29_to_2025-06-06,745,1,2025-03-09
Cycle 2024-04-29_to_2025-06-06,748,1,2025-03-09
Cycle 2024-04-29_to_2025-06-06,749,2,2025-04-26
Cycle 2024-04-29_to_2025-06-06,750,2,2025-04-26
Cycle 2024-04-29_to_2025-06-06,751,2,2025-04-26
Cycle 2024-04-29_to_2025-06-06,752,2,2025-04-26
Cycle 2024-04-29_to_2025-06-06,763,3,2025-04-26
Cycle 2024-04-29_to_2025-06-06,764,3,2025-04-26
Cycle 2024-04-29_to_2025-06-06,B,4,2025-04-26
Cycle 2024-04-29_to_2025-06-06,W,4,2025-04-26