Date,Cow Group,Cow ID,Breed ,Notes
2025-03-10,Group A,737,Holstein,Sold
2025-03-10,Group A,748,Holstein,Sold
2025-03-10,Group A,744,Holstein,Sold
2025-03-10,Group A,742,Holstein,Sold
2025-03-10,Group A,736,Holstein,Sold
2025-03-10,Group A,745,Holstein,Sold
2025-03-10,Group A,741,Holstein,Sold
2025-03-10,Group B,743,Holstein,Sold
2025-03-10,Group A,738,Holstein,Sold
2025-04-27,Group B,752,Holstein,Sold
2025-04-27,Group B,751,Holstein,Sold
2025-04-27,Group C,763,Holstein,Sold
2025-04-27,Group C,764,Holstein,Sold
2025-04-27,Group B,750,Holstein,Sold
2025-04-27,Group B,749,Holstein,Sold
2025-04-27,Group D,B,Holstein,Sold
2025-04-27,Group D,W,Holstein,Sold
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,