Date,Expense Type,Amount ($),Description,,,,,,,
3/14/25,Feed,111025,"SC 2t , B 2t , FF 4t , S 0.25t",,,,,,,
3/14/25,Food Transportation,2500,,,,,,,,
3/15/25,Cows ( 9 ),671925,First Batch ( 4335kg*155 ),,,,,,,
3/15/25,Cows Transportation,2500,,,,,,,,
3/26/25,Straw,2340,250kg,,,,,,,
3/26/25,Ropes,460,,,,,,,,
3/26/25,Straw Transportation,150,,,,,,,, 
4/11/25,Straw,4400,500kg,,,,,,,
4/11/25,Straw Transportation,150,,,,,,,,
4/11/25,Netting,120,,,,,,,,
4/11/25,Wormwood,60,,,,,,,,
4/27/25,Cows ( 4 ),282480,Second Batch ( 1712kg*165 ),,,,,,,
4/27/25,Cow,52740,Second Batch ( 293kg*180 ),,,,,,,
4/27/25,Cow,51120,Second Batch ( 284kg*180 ),,,,,,,
4/27/25,Cow,34560,Second Batch Girl ( 192kg*180 ),,,,,,,
4/27/25,Cow,36720,Second Batch Girl ( 204kg*180 ),,,,,,,
4/27/25,Cows Transportation,2800,,,,,,,,
5/1/25,Feed,140662,"FF 7t , YF 1.605t",,,,,,,
5/1/25,Food Transportation,2800,,,,,,,,
5/18/25,Ropes,700,,,,,,,,
5/18/25,Vet,950,"Fenbazole 10% , 10 Syringe",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,